grid,nr,cvs,kappas
1,160,5.00000000*16.00000000,4.00000000e+01*4.00000000e+01
1,161,5.00000000*17.00000000,4.00000000e+01*4.00000000e+01
1,162,6.00000000*14.00000000,4.00000000e+01*4.00000000e+01
1,163,6.00000000*15.00000000,4.00000000e+01*4.00000000e+01
1,164,6.00000000*17.00000000,4.00000000e+01*4.00000000e+01
1,165,7.00000000*14.00000000,4.00000000e+01*4.00000000e+01
1,166,7.00000000*16.00000000,4.00000000e+01*4.00000000e+01
1,167,8.00000000*16.00000000,4.00000000e+01*4.00000000e+01
1,168,9.00000000*14.00000000,4.00000000e+01*4.00000000e+01
1,169,9.00000000*15.00000000,4.00000000e+01*4.00000000e+01
1,170,9.00000000*16.00000000,4.00000000e+01*4.00000000e+01
1,171,9.00000000*17.00000000,4.00000000e+01*4.00000000e+01
1,172,10.00000000*11.00000000,4.00000000e+01*4.00000000e+01
1,173,10.00000000*13.00000000,4.00000000e+01*4.00000000e+01
1,174,10.00000000*14.00000000,4.00000000e+01*4.00000000e+01
1,175,10.00000000*15.00000000,4.00000000e+01*4.00000000e+01
1,176,10.00000000*16.00000000,4.00000000e+01*4.00000000e+01
1,177,11.00000000*10.00000000,4.00000000e+01*4.00000000e+01
1,178,11.00000000*11.00000000,4.00000000e+01*4.00000000e+01
1,179,11.00000000*12.00000000,4.00000000e+01*4.00000000e+01
1,180,11.00000000*13.00000000,2.00000000e+01*2.00000000e+01
1,181,11.00000000*16.00000000,2.00000000e+01*2.00000000e+01
1,182,11.00000000*17.00000000,4.00000000e+01*4.00000000e+01
1,183,12.00000000*10.00000000,4.00000000e+01*4.00000000e+01
1,184,12.00000000*11.00000000,4.00000000e+01*4.00000000e+01
1,185,12.00000000*12.00000000,2.00000000e+01*2.00000000e+01
1,186,12.00000000*17.00000000,4.00000000e+01*4.00000000e+01
1,187,13.00000000*9.00000000,4.00000000e+01*4.00000000e+01
1,188,13.00000000*10.00000000,4.00000000e+01*4.00000000e+01
1,189,13.00000000*11.00000000,4.00000000e+01*4.00000000e+01
1,190,13.00000000*12.00000000,2.00000000e+01*2.00000000e+01
1,191,13.00000000*16.00000000,2.00000000e+01*2.00000000e+01
1,192,13.00000000*17.00000000,4.00000000e+01*4.00000000e+01
1,193,14.00000000*4.00000000,4.00000000e+01*4.00000000e+01
1,194,14.00000000*5.00000000,4.00000000e+01*4.00000000e+01
1,195,14.00000000*6.00000000,4.00000000e+01*4.00000000e+01
1,196,14.00000000*10.00000000,4.00000000e+01*4.00000000e+01
1,197,14.00000000*11.00000000,4.00000000e+01*4.00000000e+01
1,198,14.00000000*12.00000000,2.00000000e+01*2.00000000e+01
1,199,14.00000000*16.00000000,2.00000000e+01*2.00000000e+01
1,200,14.00000000*17.00000000,4.00000000e+01*4.00000000e+01
1,201,15.00000000*4.00000000,4.00000000e+01*4.00000000e+01
1,202,15.00000000*5.00000000,4.00000000e+01*4.00000000e+01
1,203,15.00000000*6.00000000,2.00000000e+01*2.00000000e+01
1,204,15.00000000*10.00000000,4.00000000e+01*4.00000000e+01
1,205,15.00000000*11.00000000,2.00000000e+01*2.00000000e+01
1,206,15.00000000*15.00000000,2.00000000e+01*2.00000000e+01
1,207,15.00000000*16.00000000,4.00000000e+01*4.00000000e+01
1,208,16.00000000*5.00000000,4.00000000e+01*4.00000000e+01
1,209,16.00000000*7.00000000,4.00000000e+01*4.00000000e+01
1,210,16.00000000*8.00000000,4.00000000e+01*4.00000000e+01
1,211,16.00000000*9.00000000,4.00000000e+01*4.00000000e+01
1,212,16.00000000*10.00000000,4.00000000e+01*4.00000000e+01
1,213,16.00000000*11.00000000,2.00000000e+01*2.00000000e+01
1,214,16.00000000*12.00000000,2.00000000e+01*2.00000000e+01
1,215,16.00000000*13.00000000,2.00000000e+01*2.00000000e+01
1,216,16.00000000*14.00000000,2.00000000e+01*2.00000000e+01
1,217,16.00000000*15.00000000,4.00000000e+01*4.00000000e+01
1,218,16.00000000*16.00000000,4.00000000e+01*4.00000000e+01
1,219,17.00000000*5.00000000,4.00000000e+01*4.00000000e+01
1,220,17.00000000*11.00000000,4.00000000e+01*4.00000000e+01
1,221,17.00000000*12.00000000,4.00000000e+01*4.00000000e+01
1,222,17.00000000*13.00000000,4.00000000e+01*4.00000000e+01
1,223,18.00000000*5.00000000,4.00000000e+01*4.00000000e+01
1,224,3.50000000*15.50000000,8.00000000e+01*8.00000000e+01
1,225,3.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,226,4.00000000*15.50000000,8.00000000e+01*8.00000000e+01
1,227,4.00000000*16.50000000,8.00000000e+01*8.00000000e+01
1,228,4.50000000*13.50000000,8.00000000e+01*8.00000000e+01
1,229,4.50000000*15.00000000,8.00000000e+01*8.00000000e+01
1,230,4.50000000*15.50000000,4.00000000e+01*4.00000000e+01
1,231,4.50000000*16.00000000,8.00000000e+01*8.00000000e+01
1,232,4.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,233,5.00000000*13.50000000,8.00000000e+01*8.00000000e+01
1,234,5.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,235,5.50000000*12.50000000,8.00000000e+01*8.00000000e+01
1,236,5.50000000*13.00000000,8.00000000e+01*8.00000000e+01
1,237,5.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,238,5.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,239,6.00000000*12.50000000,8.00000000e+01*8.00000000e+01
1,240,6.00000000*13.50000000,4.00000000e+01*4.00000000e+01
1,241,6.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,242,6.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,243,6.50000000*12.00000000,8.00000000e+01*8.00000000e+01
1,244,6.50000000*12.50000000,8.00000000e+01*8.00000000e+01
1,245,6.50000000*13.00000000,8.00000000e+01*8.00000000e+01
1,246,6.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,247,6.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,248,6.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,249,7.00000000*12.50000000,8.00000000e+01*8.00000000e+01
1,250,7.00000000*14.50000000,4.00000000e+01*4.00000000e+01
1,251,7.00000000*15.50000000,4.00000000e+01*4.00000000e+01
1,252,7.00000000*16.50000000,4.00000000e+01*4.00000000e+01
1,253,7.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,254,7.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,255,7.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,256,7.50000000*12.00000000,8.00000000e+01*8.00000000e+01
1,257,7.50000000*12.50000000,8.00000000e+01*8.00000000e+01
1,258,7.50000000*13.00000000,8.00000000e+01*8.00000000e+01
1,259,7.50000000*13.50000000,4.00000000e+01*4.00000000e+01
1,260,7.50000000*14.50000000,4.00000000e+01*4.00000000e+01
1,261,7.50000000*15.00000000,4.00000000e+01*4.00000000e+01
1,262,7.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,263,7.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,264,7.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,265,7.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,266,8.00000000*10.50000000,8.00000000e+01*8.00000000e+01
1,267,8.00000000*11.50000000,8.00000000e+01*8.00000000e+01
1,268,8.00000000*12.50000000,4.00000000e+01*4.00000000e+01
1,269,8.00000000*13.50000000,4.00000000e+01*4.00000000e+01
1,270,8.00000000*14.50000000,4.00000000e+01*4.00000000e+01
1,271,8.00000000*16.50000000,4.00000000e+01*4.00000000e+01
1,272,8.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,273,8.50000000*9.50000000,8.00000000e+01*8.00000000e+01
1,274,8.50000000*10.00000000,8.00000000e+01*8.00000000e+01
1,275,8.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,276,8.50000000*11.00000000,8.00000000e+01*8.00000000e+01
1,277,8.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,278,8.50000000*12.00000000,8.00000000e+01*8.00000000e+01
1,279,8.50000000*12.50000000,4.00000000e+01*4.00000000e+01
1,280,8.50000000*13.00000000,4.00000000e+01*4.00000000e+01
1,281,8.50000000*13.50000000,4.00000000e+01*4.00000000e+01
1,282,8.50000000*14.00000000,4.00000000e+01*4.00000000e+01
1,283,8.50000000*14.50000000,4.00000000e+01*4.00000000e+01
1,284,8.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,285,8.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,286,8.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,287,8.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,288,9.00000000*10.50000000,8.00000000e+01*8.00000000e+01
1,289,9.00000000*11.50000000,4.00000000e+01*4.00000000e+01
1,290,9.00000000*12.50000000,4.00000000e+01*4.00000000e+01
1,291,9.00000000*13.50000000,4.00000000e+01*4.00000000e+01
1,292,9.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,293,9.50000000*8.50000000,8.00000000e+01*8.00000000e+01
1,294,9.50000000*9.50000000,8.00000000e+01*8.00000000e+01
1,295,9.50000000*10.00000000,8.00000000e+01*8.00000000e+01
1,296,9.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,297,9.50000000*11.00000000,8.00000000e+01*8.00000000e+01
1,298,9.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,299,9.50000000*12.50000000,4.00000000e+01*4.00000000e+01
1,300,9.50000000*13.00000000,4.00000000e+01*4.00000000e+01
1,301,9.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,302,9.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,303,9.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,304,10.00000000*8.50000000,8.00000000e+01*8.00000000e+01
1,305,10.00000000*9.50000000,8.00000000e+01*8.00000000e+01
1,306,10.00000000*10.50000000,4.00000000e+01*4.00000000e+01
