layer,nr,cvs,kappas,type
1,207,-9.00000000*9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,208,-9.00000000*11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,209,-9.00000000*12.75000000,3.20000000e+01*3.20000000e+01,new_node
1,210,-8.25000000*-14.25000000,3.20000000e+01*3.20000000e+01,new_node
1,211,-8.25000000*-13.50000000,3.20000000e+01*3.20000000e+01,new_node
1,212,-8.25000000*-12.75000000,1.60000000e+01*1.60000000e+01,new_node
1,213,-8.25000000*-12.00000000,3.20000000e+01*3.20000000e+01,new_node
1,214,-8.25000000*-11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,215,-8.25000000*-10.50000000,3.20000000e+01*3.20000000e+01,new_node
1,216,-8.25000000*-9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,217,-8.25000000*-9.00000000,3.20000000e+01*3.20000000e+01,new_node
1,218,-8.25000000*-8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,219,-8.25000000*-7.50000000,3.20000000e+01*3.20000000e+01,new_node
1,220,-8.25000000*-6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,221,-8.25000000*-6.00000000,3.20000000e+01*3.20000000e+01,new_node
1,222,-8.25000000*-5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,223,-8.25000000*-4.50000000,1.60000000e+01*1.60000000e+01,new_node
1,224,-8.25000000*-3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,225,-8.25000000*-3.00000000,3.20000000e+01*3.20000000e+01,new_node
1,226,-8.25000000*-2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,227,-8.25000000*-1.50000000,3.20000000e+01*3.20000000e+01,new_node
1,228,-8.25000000*-0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,229,-8.25000000*0.00000000,3.20000000e+01*3.20000000e+01,new_node
1,230,-8.25000000*0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,231,-8.25000000*1.50000000,6.40000000e+01*6.40000000e+01,new_node
1,232,-8.25000000*2.25000000,6.40000000e+01*6.40000000e+01,new_node
1,233,-8.25000000*3.00000000,3.20000000e+01*3.20000000e+01,new_node
1,234,-8.25000000*3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,235,-8.25000000*4.50000000,3.20000000e+01*3.20000000e+01,new_node
1,236,-8.25000000*5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,237,-8.25000000*6.00000000,3.20000000e+01*3.20000000e+01,new_node
1,238,-8.25000000*6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,239,-8.25000000*7.50000000,3.20000000e+01*3.20000000e+01,new_node
1,240,-8.25000000*8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,241,-8.25000000*9.00000000,3.20000000e+01*3.20000000e+01,new_node
1,242,-8.25000000*9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,243,-8.25000000*10.50000000,3.20000000e+01*3.20000000e+01,new_node
1,244,-8.25000000*11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,245,-8.25000000*12.00000000,3.20000000e+01*3.20000000e+01,new_node
1,246,-8.25000000*12.75000000,3.20000000e+01*3.20000000e+01,new_node
1,247,-8.25000000*13.50000000,3.20000000e+01*3.20000000e+01,new_node
1,248,-8.25000000*14.25000000,1.60000000e+01*1.60000000e+01,new_node
1,249,-7.50000000*-12.75000000,3.20000000e+01*3.20000000e+01,new_node
1,250,-7.50000000*-11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,251,-7.50000000*-9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,252,-7.50000000*-8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,253,-7.50000000*-6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,254,-7.50000000*-5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,255,-7.50000000*-3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,256,-7.50000000*-2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,257,-7.50000000*-0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,258,-7.50000000*0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,259,-7.50000000*2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,260,-7.50000000*3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,261,-7.50000000*5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,262,-7.50000000*6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,263,-7.50000000*8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,264,-7.50000000*9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,265,-7.50000000*11.25000000,1.60000000e+01*1.60000000e+01,new_node
1,266,-7.50000000*12.75000000,3.20000000e+01*3.20000000e+01,new_node
1,267,-6.75000000*-14.25000000,3.20000000e+01*3.20000000e+01,new_node
1,268,-6.75000000*-13.50000000,3.20000000e+01*3.20000000e+01,new_node
1,269,-6.75000000*-12.75000000,3.20000000e+01*3.20000000e+01,new_node
1,270,-6.75000000*-12.00000000,3.20000000e+01*3.20000000e+01,new_node
1,271,-6.75000000*-11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,272,-6.75000000*-10.50000000,3.20000000e+01*3.20000000e+01,new_node
1,273,-6.75000000*-9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,274,-6.75000000*-9.00000000,6.40000000e+01*6.40000000e+01,new_node
1,275,-6.75000000*-8.25000000,6.40000000e+01*6.40000000e+01,new_node
1,276,-6.75000000*-7.50000000,3.20000000e+01*3.20000000e+01,new_node
1,277,-6.75000000*-6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,278,-6.75000000*-6.00000000,3.20000000e+01*3.20000000e+01,new_node
1,279,-6.75000000*-5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,280,-6.75000000*-4.50000000,1.60000000e+01*1.60000000e+01,new_node
1,281,-6.75000000*-3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,282,-6.75000000*-3.00000000,3.20000000e+01*3.20000000e+01,new_node
1,283,-6.75000000*-2.25000000,6.40000000e+01*6.40000000e+01,new_node
1,284,-6.75000000*-1.50000000,6.40000000e+01*6.40000000e+01,new_node
1,285,-6.75000000*-0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,286,-6.75000000*0.00000000,3.20000000e+01*3.20000000e+01,new_node
1,287,-6.75000000*0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,288,-6.75000000*1.50000000,3.20000000e+01*3.20000000e+01,new_node
1,289,-6.75000000*2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,290,-6.75000000*3.00000000,3.20000000e+01*3.20000000e+01,new_node
1,291,-6.75000000*3.75000000,1.60000000e+01*1.60000000e+01,new_node
1,292,-6.75000000*4.50000000,3.20000000e+01*3.20000000e+01,new_node
1,293,-6.75000000*5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,294,-6.75000000*6.00000000,3.20000000e+01*3.20000000e+01,new_node
1,295,-6.75000000*6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,296,-6.75000000*7.50000000,3.20000000e+01*3.20000000e+01,new_node
1,297,-6.75000000*8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,298,-6.75000000*9.00000000,3.20000000e+01*3.20000000e+01,new_node
1,299,-6.75000000*9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,300,-6.75000000*10.50000000,3.20000000e+01*3.20000000e+01,new_node
1,301,-6.75000000*11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,302,-6.75000000*12.00000000,3.20000000e+01*3.20000000e+01,new_node
1,303,-6.75000000*12.75000000,3.20000000e+01*3.20000000e+01,new_node
1,304,-6.75000000*13.50000000,3.20000000e+01*3.20000000e+01,new_node
1,305,-6.75000000*14.25000000,6.40000000e+01*6.40000000e+01,new_node
1,306,-6.00000000*-14.25000000,6.40000000e+01*6.40000000e+01,new_node
1,307,-6.00000000*-12.75000000,3.20000000e+01*3.20000000e+01,new_node
1,308,-6.00000000*-11.25000000,1.60000000e+01*1.60000000e+01,new_node
1,309,-6.00000000*-9.75000000,1.60000000e+01*1.60000000e+01,new_node
1,310,-6.00000000*-8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,311,-6.00000000*-6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,312,-6.00000000*-5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,313,-6.00000000*-3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,314,-6.00000000*-2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,315,-6.00000000*-0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,316,-6.00000000*0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,317,-6.00000000*2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,318,-6.00000000*3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,319,-6.00000000*5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,320,-6.00000000*6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,321,-6.00000000*8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,322,-6.00000000*9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,323,-6.00000000*11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,324,-6.00000000*12.75000000,6.40000000e+01*6.40000000e+01,new_node
1,325,-6.00000000*14.25000000,3.20000000e+01*3.20000000e+01,new_node
1,326,-5.25000000*-15.75000000,3.20000000e+01*3.20000000e+01,new_node
1,327,-5.25000000*-15.00000000,6.40000000e+01*6.40000000e+01,new_node
1,328,-5.25000000*-14.25000000,6.40000000e+01*6.40000000e+01,new_node
1,329,-5.25000000*-13.50000000,6.40000000e+01*6.40000000e+01,new_node
1,330,-5.25000000*-12.75000000,3.20000000e+01*3.20000000e+01,new_node
1,331,-5.25000000*-12.00000000,3.20000000e+01*3.20000000e+01,new_node
1,332,-5.25000000*-11.25000000,3.20000000e+01*3.20000000e+01,new_node
1,333,-5.25000000*-10.50000000,3.20000000e+01*3.20000000e+01,new_node
1,334,-5.25000000*-9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,335,-5.25000000*-9.00000000,3.20000000e+01*3.20000000e+01,new_node
1,336,-5.25000000*-8.25000000,3.20000000e+01*3.20000000e+01,new_node
